+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
| t1  |     d1     |    z1    | s1 | s2 | s3 | s4 | s5 | s6 | s7 | "" | z2 | b1 | b2 |
| 327 | 2019/7/26  | 550172   | 1  | 3  | 13 | 14 | 16 | 30 | 31 |    | D  | 2  | 17 |
| 82  | 2014/10/31 | 579891   | 1  | 3  | 16 | 20 | 25 | 27 | 34 |    | H  | 18 | 37 |
| 51  | 2014/3/28  | 614324   | 1  | 4  | 5  | 8  | 20 | 23 | 35 |    | D  | 15 | 33 |
| 392 | 2020/10/30 | 662202   | 1  | 4  | 6  | 15 | 20 | 22 | 26 |    | B  | 18 | 21 |
| 102 | 2015/3/27  | 721141   | 1  | 4  | 8  | 27 | 28 | 29 | 31 |    | E  | 13 | 25 |
| 333 | 2019/9/6   | 743133   | 1  | 4  | 10 | 11 | 16 | 24 | 34 |    | G  | 30 | 32 |
| 255 | 2018/3/9   | 762153   | 1  | 4  | 11 | 13 | 15 | 21 | 32 |    | C  | 5  | 10 |
| 365 | 2020/4/24  | 787428   | 1  | 4  | 13 | 14 | 16 | 22 | 35 |    | I  | 10 | 23 |
| 53  | 2014/4/11  | 799903   | 1  | 4  | 14 | 16 | 20 | 33 | 36 |    | G  | 12 | 30 |
| 149 | 2016/2/26  | 810278   | 1  | 4  | 15 | 19 | 22 | 23 | 31 |    | I  | 12 | 32 |
| 33  | 2013/11/15 | 823942   | 1  | 4  | 17 | 24 | 29 | 33 | 36 |    | F  | 19 | 30 |
| 248 | 2018/1/19  | 870053   | 1  | 5  | 6  | 22 | 25 | 27 | 31 |    | J  | 12 | 18 |
| 147 | 2016/2/12  | 884814   | 1  | 5  | 7  | 12 | 15 | 24 | 25 |    | E  | 8  | 14 |
| 91  | 2015/1/9   | 888631   | 1  | 5  | 7  | 14 | 15 | 25 | 35 |    | I  | 18 | 24 |
| 455 | 2022/1/28  | 914505   | 1  | 5  | 8  | 15 | 18 | 26 | 36 |    | B  | 33 | 34 |
| 443 | 2021/10/29 | 922420   | 1  | 5  | 8  | 26 | 28 | 32 | 36 |    | G  | 23 | 24 |
| 378 | 2020/7/24  | 923760   | 1  | 5  | 9  | 10 | 14 | 15 | 29 |    | F  | 20 | 28 |
| 169 | 2016/7/15  | 957887   | 1  | 5  | 10 | 20 | 21 | 28 | 30 |    | C  | 25 | 26 |
| 263 | 2018/5/4   | 969713   | 1  | 5  | 11 | 16 | 27 | 35 | 36 |    | D  | 6  | 14 |
| 242 | 2017/12/8  | 994219   | 1  | 5  | 13 | 17 | 31 | 32 | 35 |    | E  | 19 | 24 |
| 58  | 2014/5/16  | 1044876  | 1  | 6  | 7  | 8  | 23 | 32 | 33 |    | E  | 11 | 34 |
| 206 | 2017/3/31  | 1053933  | 1  | 6  | 7  | 11 | 27 | 35 | 36 |    | J  | 22 | 26 |
| 388 | 2020/10/2  | 1074112  | 1  | 6  | 8  | 10 | 18 | 21 | 32 |    | C  | 13 | 28 |
| 299 | 2019/1/11  | 1118769  | 1  | 6  | 10 | 13 | 16 | 26 | 36 |    | B  | 28 | 30 |
| 389 | 2020/10/9  | 1134048  | 1  | 6  | 11 | 13 | 18 | 24 | 27 |    | E  | 17 | 23 |
| 125 | 2015/9/4   | 1136022  | 1  | 6  | 11 | 14 | 19 | 28 | 35 |    | I  | 18 | 21 |
| 25  | 2013/9/20  | 1138419  | 1  | 6  | 11 | 16 | 17 | 18 | 21 |    | E  | 10 | 24 |
| 71  | 2014/8/15  | 1168935  | 1  | 6  | 13 | 29 | 34 | 35 | 37 |    | B  | 2  | 15 |
| 369 | 2020/5/22  | 1239229  | 1  | 7  | 9  | 11 | 15 | 31 | 34 |    | I  | 6  | 33 |
| 423 | 2021/6/11  | 1240711  | 1  | 7  | 9  | 11 | 29 | 31 | 32 |    | A  | 2  | 6  |
| 446 | 2021/11/19 | 1241514  | 1  | 7  | 9  | 12 | 15 | 29 | 32 |    | B  | 11 | 28 |
| 182 | 2016/10/14 | 1257559  | 1  | 7  | 10 | 11 | 20 | 23 | 30 |    | A  | 3  | 37 |
| 309 | 2019/3/22  | 1301193  | 1  | 7  | 13 | 14 | 16 | 21 | 22 |    | J  | 18 | 34 |
| 288 | 2018/10/26 | 1368377  | 1  | 8  | 9  | 16 | 27 | 32 | 37 |    | I  | 17 | 31 |
| 296 | 2018/12/21 | 1378379  | 1  | 8  | 10 | 12 | 18 | 28 | 29 |    | H  | 25 | 27 |
| 180 | 2016/9/30  | 1404733  | 1  | 8  | 11 | 21 | 23 | 25 | 28 |    | D  | 5  | 37 |
| 95  | 2015/2/6   | 1420420  | 1  | 8  | 13 | 14 | 18 | 30 | 34 |    | F  | 26 | 36 |
| 148 | 2016/2/19  | 1498583  | 1  | 9  | 11 | 16 | 20 | 30 | 34 |    | C  | 12 | 33 |
| 21  | 2013/8/23  | 1520988  | 1  | 9  | 13 | 15 | 25 | 30 | 33 |    | H  | 19 | 28 |
| 271 | 2018/6/29  | 1537905  | 1  | 9  | 15 | 16 | 19 | 32 | 35 |    | G  | 14 | 31 |
| 269 | 2018/6/15  | 1543976  | 1  | 9  | 15 | 24 | 31 | 33 | 36 |    | E  | 2  | 26 |
| 199 | 2017/2/10  | 1552669  | 1  | 9  | 17 | 20 | 22 | 28 | 29 |    | E  | 13 | 16 |
| 422 | 2021/6/4   | 1565646  | 1  | 9  | 21 | 23 | 30 | 35 | 36 |    | D  | 5  | 6  |
| 27  | 2013/10/4  | 1575827  | 1  | 10 | 11 | 14 | 17 | 18 | 28 |    | B  | 25 | 26 |
| 322 | 2019/6/21  | 1583982  | 1  | 10 | 11 | 21 | 26 | 29 | 30 |    | A  | 14 | 20 |
| 176 | 2016/9/2   | 1659109  | 1  | 11 | 12 | 17 | 22 | 30 | 35 |    | J  | 15 | 16 |
| 291 | 2018/11/16 | 1702286  | 1  | 11 | 18 | 19 | 21 | 29 | 37 |    | A  | 5  | 15 |
| 83  | 2014/11/7  | 1712768  | 1  | 11 | 21 | 26 | 28 | 32 | 35 |    | B  | 18 | 22 |
| 66  | 2014/7/11  | 1716618  | 1  | 11 | 25 | 28 | 31 | 33 | 37 |    | E  | 3  | 20 |
| 254 | 2018/3/2   | 1732719  | 1  | 12 | 14 | 18 | 23 | 24 | 31 |    | A  | 7  | 26 |
| 130 | 2015/10/9  | 1865750  | 1  | 15 | 20 | 23 | 25 | 31 | 32 |    | B  | 5  | 24 |
| 251 | 2018/2/9   | 1866574  | 1  | 15 | 20 | 26 | 28 | 34 | 37 |    | B  | 23 | 30 |
| 35  | 2013/11/29 | 1878596  | 1  | 16 | 18 | 19 | 25 | 30 | 34 |    | E  | 26 | 36 |
| 396 | 2020/11/27 | 1999452  | 2  | 3  | 5  | 8  | 16 | 20 | 34 |    | J  | 26 | 31 |
| 382 | 2020/8/21  | 2000000  | 2  | 3  | 5  | 8  | 19 | 22 | 37 |    | E  | 16 | 28 |
| 17  | 2013/7/26  | 2023306  | 2  | 3  | 5  | 22 | 34 | 36 | 37 |    | J  | 7  | 15 |
| 227 | 2017/8/25  | 2062510  | 2  | 3  | 7  | 9  | 22 | 23 | 26 |    | J  | 29 | 30 |
| 41  | 2014/1/17  | 2099975  | 2  | 3  | 8  | 15 | 34 | 35 | 36 |    | B  | 25 | 28 |
| 229 | 2017/9/8   | 2127729  | 2  | 3  | 9  | 30 | 33 | 36 | 37 |    | I  | 1  | 32 |
| 103 | 2015/4/3   | 2147161  | 2  | 3  | 11 | 12 | 22 | 35 | 36 |    | C  | 30 | 34 |
| 297 | 2018/12/28 | 2153882  | 2  | 3  | 11 | 16 | 23 | 28 | 36 |    | C  | 8  | 24 |
| 29  | 2013/10/18 | 2200504  | 2  | 3  | 16 | 17 | 24 | 26 | 28 |    | C  | 15 | 31 |
| 373 | 2020/6/19  | 2206116  | 2  | 3  | 17 | 18 | 22 | 23 | 31 |    | A  | 4  | 30 |
| 210 | 2017/4/28  | 2276829  | 2  | 4  | 6  | 11 | 15 | 19 | 36 |    | F  | 23 | 34 |
| 459 | 2022/2/25  | 2294058  | 2  | 4  | 7  | 8  | 10 | 20 | 29 |    | C  | 14 | 33 |
| 232 | 2017/9/29  | 2298862  | 2  | 4  | 7  | 9  | 15 | 35 | 37 |    | F  | 10 | 23 |
| 79  | 2014/10/10 | 2299815  | 2  | 4  | 7  | 9  | 21 | 29 | 37 |    | J  | 6  | 36 |
| 224 | 2017/8/4   | 2300997  | 2  | 4  | 7  | 10 | 12 | 29 | 34 |    | E  | 1  | 21 |
| 22  | 2013/8/30  | 2322511  | 2  | 4  | 8  | 9  | 15 | 23 | 25 |    | C  | 3  | 10 |
| 128 | 2015/9/25  | 2343413  | 2  | 4  | 8  | 23 | 26 | 27 | 32 |    | C  | 3  | 35 |
| 121 | 2015/8/7   | 2414314  | 2  | 4  | 13 | 16 | 21 | 30 | 37 |    | J  | 19 | 29 |
| 154 | 2016/4/1   | 2452672  | 2  | 4  | 19 | 21 | 24 | 28 | 35 |    | H  | 3  | 13 |
| 46  | 2014/2/21  | 2487118  | 2  | 5  | 6  | 15 | 23 | 27 | 30 |    | J  | 4  | 35 |
| 272 | 2018/7/6   | 2537660  | 2  | 5  | 8  | 15 | 18 | 26 | 31 |    | C  | 19 | 25 |
| 80  | 2014/10/17 | 2579506  | 2  | 5  | 10 | 18 | 21 | 24 | 27 |    | F  | 25 | 34 |
| 93  | 2015/1/23  | 2588959  | 2  | 5  | 11 | 14 | 17 | 30 | 32 |    | H  | 31 | 37 |
| 20  | 2013/8/16  | 2619216  | 2  | 5  | 13 | 20 | 21 | 23 | 28 |    | I  | 11 | 22 |
| 348 | 2019/12/20 | 2644424  | 2  | 5  | 17 | 18 | 19 | 20 | 33 |    | B  | 1  | 24 |
| 138 | 2015/12/4  | 2646302  | 2  | 5  | 17 | 20 | 21 | 32 | 33 |    | E  | 30 | 35 |
| 108 | 2015/5/8   | 2668308  | 2  | 6  | 7  | 8  | 28 | 30 | 36 |    | D  | 18 | 21 |
| 262 | 2018/4/27  | 2670782  | 2  | 6  | 7  | 9  | 19 | 23 | 36 |    | J  | 5  | 15 |
| 403 | 2021/1/22  | 2702306  | 2  | 6  | 8  | 12 | 19 | 20 | 29 |    | A  | 5  | 26 |
| 214 | 2017/5/26  | 2723721  | 2  | 6  | 9  | 12 | 31 | 36 | 37 |    | A  | 3  | 22 |
| 40  | 2014/1/10  | 2767707  | 2  | 6  | 11 | 23 | 26 | 31 | 34 |    | C  | 7  | 20 |
| 319 | 2019/5/31  | 2799920  | 2  | 6  | 14 | 23 | 28 | 31 | 35 |    | D  | 19 | 27 |
| 3   | 2013/4/19  | 2841604  | 2  | 7  | 8  | 11 | 14 | 23 | 31 |    | G  | 5  | 15 |
| 162 | 2016/5/27  | 2843900  | 2  | 7  | 8  | 12 | 14 | 23 | 27 |    | A  | 6  | 10 |
| 289 | 2018/11/2  | 2882274  | 2  | 7  | 10 | 12 | 16 | 17 | 34 |    | D  | 23 | 25 |
| 287 | 2018/10/19 | 2893750  | 2  | 7  | 10 | 20 | 24 | 29 | 34 |    | G  | 4  | 8  |
| 450 | 2021/12/17 | 2916074  | 2  | 7  | 12 | 15 | 21 | 23 | 30 |    | A  | 9  | 31 |
| 68  | 2014/7/25  | 2927067  | 2  | 7  | 13 | 15 | 24 | 34 | 35 |    | C  | 12 | 23 |
| 245 | 2017/12/29 | 2982351  | 2  | 8  | 9  | 11 | 24 | 26 | 27 |    | A  | 7  | 36 |
| 90  | 2014/12/26 | 2985084  | 2  | 8  | 9  | 13 | 14 | 18 | 37 |    | J  | 11 | 25 |
| 453 | 2022/1/14  | 3013039  | 2  | 8  | 10 | 21 | 24 | 26 | 35 |    | C  | 9  | 13 |
| 47  | 2014/2/28  | 3118776  | 2  | 9  | 11 | 14 | 20 | 21 | 36 |    | H  | 6  | 15 |
| 235 | 2017/10/20 | 3147263  | 2  | 9  | 13 | 18 | 21 | 33 | 34 |    | A  | 3  | 11 |
| 155 | 2016/4/8   | 3147288  | 2  | 9  | 13 | 18 | 22 | 24 | 26 |    | J  | 10 | 37 |
| 144 | 2016/1/22  | 3147366  | 2  | 9  | 13 | 18 | 22 | 32 | 36 |    | H  | 17 | 26 |
| 425 | 2021/6/25  | 3157723  | 2  | 9  | 14 | 20 | 22 | 34 | 35 |    | I  | 7  | 24 |
| 244 | 2017/12/22 | 3177329  | 2  | 9  | 17 | 22 | 32 | 34 | 36 |    | F  | 11 | 12 |
| 15  | 2013/7/12  | 3236016  | 2  | 10 | 14 | 17 | 23 | 25 | 35 |    | G  | 8  | 29 |
| 141 | 2015/12/25 | 3263248  | 2  | 10 | 18 | 30 | 31 | 32 | 36 |    | B  | 21 | 29 |
| 190 | 2016/12/9  | 3283149  | 2  | 11 | 12 | 18 | 21 | 33 | 36 |    | I  | 8  | 34 |
| 430 | 2021/7/30  | 3377523  | 2  | 12 | 17 | 24 | 28 | 30 | 32 |    | H  | 3  | 27 |
| 461 | 2022/3/11  | 3426412  | 2  | 13 | 19 | 22 | 32 | 35 | 37 |    | G  | 14 | 33 |
| 19  | 2013/8/9   | 3458386  | 2  | 14 | 19 | 20 | 21 | 22 | 31 |    | B  | 1  | 15 |
| 42  | 2014/1/24  | 3470762  | 2  | 15 | 16 | 17 | 23 | 31 | 33 |    | G  | 8  | 26 |
| 451 | 2021/12/24 | 3492751  | 2  | 15 | 22 | 25 | 28 | 33 | 37 |    | I  | 10 | 17 |
| 122 | 2015/8/14  | 3504605  | 2  | 16 | 18 | 26 | 27 | 34 | 35 |    | H  | 5  | 12 |
| 120 | 2015/7/31  | 3504719  | 2  | 16 | 18 | 26 | 32 | 35 | 37 |    | C  | 9  | 36 |
| 449 | 2021/12/10 | 3562253  | 2  | 21 | 26 | 27 | 32 | 33 | 34 |    | D  | 8  | 9  |
| 8   | 2013/5/24  | 3562702  | 2  | 21 | 28 | 29 | 30 | 32 | 36 |    | B  | 6  | 8  |
| 470 | 2022/5/13  | 2121652  | 2  | 27 | 32 | 3  | 26 | 36 | 9  |    | J  | 34 | 1  |
| 294 | 2018/12/7  | 3618943  | 3  | 4  | 6  | 10 | 14 | 22 | 29 |    | F  | 28 | 32 |
| 209 | 2017/4/21  | 3627280  | 3  | 4  | 6  | 13 | 22 | 31 | 36 |    | C  | 28 | 34 |
| 44  | 2014/2/7   | 3630898  | 3  | 4  | 6  | 15 | 27 | 28 | 29 |    | I  | 1  | 14 |
| 50  | 2014/3/21  | 3640405  | 3  | 4  | 7  | 8  | 15 | 24 | 29 |    | D  | 11 | 16 |
| 237 | 2017/11/3  | 3661914  | 3  | 4  | 7  | 19 | 20 | 21 | 29 |    | J  | 8  | 33 |
| 330 | 2019/8/16  | 3713580  | 3  | 4  | 10 | 12 | 17 | 18 | 20 |    | H  | 19 | 32 |
| 88  | 2014/12/12 | 3718448  | 3  | 4  | 10 | 14 | 25 | 29 | 30 |    | C  | 18 | 19 |
| 398 | 2020/12/11 | 3721924  | 3  | 4  | 10 | 17 | 20 | 22 | 33 |    | G  | 1  | 6  |
| 131 | 2015/10/16 | 3750299  | 3  | 4  | 12 | 17 | 32 | 34 | 36 |    | J  | 23 | 31 |
| 352 | 2020/1/24  | 3770572  | 3  | 4  | 14 | 18 | 26 | 30 | 32 |    | I  | 28 | 34 |
| 9   | 2013/5/31  | 3780811  | 3  | 4  | 15 | 23 | 27 | 30 | 36 |    | D  | 13 | 35 |
| 170 | 2016/7/22  | 3819147  | 3  | 5  | 6  | 9  | 27 | 32 | 36 |    | A  | 12 | 24 |
| 435 | 2021/9/3   | 3850466  | 3  | 5  | 7  | 11 | 15 | 17 | 25 |    | I  | 13 | 32 |
| 447 | 2021/11/26 | 3880097  | 3  | 5  | 8  | 13 | 26 | 30 | 37 |    | F  | 25 | 28 |
| 230 | 2017/9/15  | 3883063  | 3  | 5  | 8  | 15 | 22 | 25 | 27 |    | H  | 18 | 31 |
| 48  | 2014/3/7   | 4007967  | 3  | 5  | 24 | 26 | 29 | 30 | 34 |    | F  | 8  | 35 |
| 158 | 2016/4/29  | 4037024  | 3  | 6  | 7  | 30 | 32 | 36 | 37 |    | I  | 5  | 20 |
| 119 | 2015/7/24  | 4050358  | 3  | 6  | 8  | 14 | 15 | 25 | 36 |    | B  | 24 | 35 |
| 314 | 2019/4/26  | 4057745  | 3  | 6  | 8  | 19 | 32 | 34 | 35 |    | C  | 12 | 30 |
| 246 | 2018/1/5   | 4077799  | 3  | 6  | 9  | 19 | 23 | 25 | 31 |    | I  | 21 | 36 |
| 347 | 2019/12/13 | 4102061  | 3  | 6  | 11 | 13 | 18 | 20 | 34 |    | E  | 25 | 35 |
| 276 | 2018/8/3   | 4121140  | 3  | 6  | 12 | 17 | 22 | 34 | 35 |    | H  | 2  | 33 |
| 428 | 2021/7/16  | 4157836  | 3  | 6  | 16 | 22 | 31 | 34 | 35 |    | E  | 24 | 32 |
| 390 | 2020/10/16 | 4168758  | 3  | 6  | 19 | 21 | 23 | 26 | 27 |    | A  | 30 | 34 |
| 342 | 2019/11/8  | 4178150  | 3  | 6  | 24 | 28 | 32 | 35 | 36 |    | H  | 4  | 8  |
| 194 | 2017/1/6   | 4179257  | 3  | 6  | 27 | 30 | 31 | 32 | 36 |    | B  | 14 | 23 |
| 189 | 2016/12/2  | 4184714  | 3  | 7  | 8  | 10 | 18 | 23 | 35 |    | D  | 1  | 19 |
| 60  | 2014/5/30  | 4215062  | 3  | 7  | 9  | 15 | 16 | 23 | 34 |    | B  | 5  | 33 |
| 202 | 2017/3/3   | 4249858  | 3  | 7  | 11 | 16 | 22 | 34 | 37 |    | F  | 29 | 32 |
| 133 | 2015/10/30 | 4270995  | 3  | 7  | 13 | 15 | 17 | 21 | 30 |    | D  | 14 | 27 |
| 387 | 2020/9/25  | 4278167  | 3  | 7  | 13 | 22 | 30 | 32 | 37 |    | G  | 14 | 15 |
| 334 | 2019/9/13  | 4289722  | 3  | 7  | 15 | 16 | 30 | 34 | 35 |    | A  | 8  | 29 |
| 384 | 2020/9/4   | 4291679  | 3  | 7  | 15 | 18 | 26 | 30 | 31 |    | F  | 9  | 33 |
| 107 | 2015/5/1   | 4330741  | 3  | 8  | 9  | 13 | 17 | 27 | 33 |    | G  | 29 | 31 |
| 32  | 2013/11/8  | 4410478  | 3  | 8  | 15 | 18 | 27 | 29 | 37 |    | A  | 31 | 34 |
| 379 | 2020/7/31  | 4412821  | 3  | 8  | 15 | 22 | 24 | 29 | 35 |    | A  | 18 | 26 |
| 414 | 2021/4/9   | 4418447  | 3  | 8  | 16 | 21 | 25 | 36 | 37 |    | C  | 14 | 20 |
| 364 | 2020/4/17  | 4448055  | 3  | 9  | 10 | 14 | 16 | 20 | 27 |    | G  | 19 | 33 |
| 328 | 2019/8/2   | 4448630  | 3  | 9  | 10 | 14 | 19 | 24 | 30 |    | G  | 18 | 21 |
| 316 | 2019/5/10  | 4453497  | 3  | 9  | 10 | 17 | 30 | 33 | 34 |    | G  | 6  | 8  |
| 98  | 2015/2/27  | 4461824  | 3  | 9  | 11 | 13 | 19 | 25 | 33 |    | A  | 10 | 30 |
| 168 | 2016/7/8   | 4476178  | 3  | 9  | 12 | 14 | 19 | 20 | 36 |    | I  | 2  | 5  |
| 222 | 2017/7/21  | 4525251  | 3  | 9  | 18 | 21 | 23 | 27 | 29 |    | F  | 35 | 37 |
| 405 | 2021/2/5   | 4594355  | 3  | 10 | 16 | 17 | 24 | 32 | 36 |    | B  | 11 | 29 |
| 413 | 2021/4/2   | 4594800  | 3  | 10 | 16 | 18 | 19 | 34 | 35 |    | F  | 27 | 36 |
| 329 | 2019/8/9   | 4608690  | 3  | 10 | 19 | 20 | 26 | 28 | 30 |    | I  | 15 | 25 |
| 86  | 2014/11/28 | 4611321  | 3  | 10 | 20 | 21 | 22 | 26 | 30 |    | G  | 24 | 35 |
| 77  | 2014/9/26  | 4617141  | 3  | 10 | 23 | 25 | 26 | 28 | 30 |    | A  | 15 | 29 |
| 140 | 2015/12/18 | 4620673  | 3  | 11 | 12 | 13 | 17 | 26 | 35 |    | G  | 1  | 33 |
| 419 | 2021/5/14  | 4649961  | 3  | 11 | 14 | 21 | 26 | 29 | 34 |    | B  | 22 | 33 |
| 315 | 2019/5/3   | 4673627  | 3  | 11 | 18 | 26 | 30 | 33 | 37 |    | I  | 28 | 31 |
| 233 | 2017/10/6  | 4765043  | 3  | 13 | 17 | 25 | 26 | 27 | 29 |    | E  | 8  | 37 |
| 164 | 2016/6/10  | 4774049  | 3  | 13 | 20 | 23 | 31 | 35 | 36 |    | D  | 2  | 11 |
| 290 | 2018/11/9  | 4777897  | 3  | 13 | 22 | 26 | 31 | 32 | 37 |    | H  | 29 | 35 |
| 105 | 2015/4/17  | 4830090  | 3  | 15 | 19 | 20 | 26 | 28 | 33 |    | F  | 17 | 21 |
| 238 | 2017/11/10 | 4907383  | 3  | 21 | 26 | 33 | 34 | 35 | 37 |    | B  | 23 | 31 |
| 295 | 2018/12/14 | 4920184  | 4  | 5  | 6  | 8  | 9  | 22 | 32 |    | J  | 13 | 26 |
| 24  | 2013/9/13  | 4979440  | 4  | 5  | 8  | 10 | 16 | 19 | 33 |    | A  | 2  | 29 |
| 374 | 2020/6/26  | 5000386  | 4  | 5  | 9  | 10 | 18 | 27 | 35 |    | C  | 15 | 34 |
| 401 | 2021/1/8   | 5009105  | 4  | 5  | 9  | 14 | 18 | 30 | 35 |    | E  | 1  | 33 |
| 268 | 2018/6/8   | 5011562  | 4  | 5  | 9  | 15 | 29 | 31 | 33 |    | A  | 26 | 27 |
| 318 | 2019/5/24  | 5023728  | 4  | 5  | 10 | 12 | 27 | 34 | 36 |    | E  | 3  | 14 |
| 207 | 2017/4/7   | 5025778  | 4  | 5  | 10 | 13 | 28 | 32 | 33 |    | C  | 19 | 26 |
| 420 | 2021/5/21  | 5040527  | 4  | 5  | 11 | 13 | 24 | 32 | 34 |    | A  | 2  | 3  |
| 417 | 2021/4/30  | 5070438  | 4  | 5  | 13 | 18 | 23 | 27 | 32 |    | E  | 9  | 11 |
| 286 | 2018/10/12 | 5077741  | 4  | 5  | 14 | 17 | 18 | 29 | 37 |    | B  | 27 | 31 |
| 92  | 2015/1/16  | 5090205  | 4  | 5  | 15 | 25 | 26 | 29 | 32 |    | D  | 11 | 27 |
| 205 | 2017/3/24  | 5108649  | 4  | 5  | 19 | 31 | 35 | 36 | 37 |    | G  | 27 | 32 |
| 43  | 2014/1/31  | 5120585  | 4  | 6  | 7  | 8  | 24 | 31 | 37 |    | C  | 5  | 13 |
| 113 | 2015/6/12  | 5122432  | 4  | 6  | 7  | 9  | 15 | 17 | 37 |    | C  | 14 | 20 |
| 34  | 2013/11/22 | 5143338  | 4  | 6  | 7  | 23 | 24 | 32 | 35 |    | H  | 8  | 27 |
| 355 | 2020/2/14  | 5170900  | 4  | 6  | 9  | 10 | 23 | 27 | 33 |    | H  | 14 | 31 |
| 212 | 2017/5/12  | 5202587  | 4  | 6  | 10 | 19 | 20 | 24 | 29 |    | B  | 1  | 27 |
| 187 | 2016/11/18 | 5205115  | 4  | 6  | 10 | 23 | 24 | 32 | 36 |    | H  | 15 | 31 |
| 193 | 2016/12/30 | 5278596  | 4  | 6  | 20 | 21 | 22 | 24 | 31 |    | A  | 9  | 10 |
| 217 | 2017/6/16  | 5286385  | 4  | 6  | 26 | 27 | 28 | 35 | 36 |    | C  | 24 | 34 |
| 14  | 2013/7/5   | 5290090  | 4  | 7  | 8  | 9  | 24 | 28 | 30 |    | E  | 34 | 36 |
| 362 | 2020/4/3   | 5301496  | 4  | 7  | 8  | 14 | 22 | 24 | 27 |    | C  | 13 | 26 |
| 359 | 2020/3/13  | 5358151  | 4  | 7  | 11 | 17 | 19 | 26 | 35 |    | B  | 1  | 24 |
| 195 | 2017/1/13  | 5373691  | 4  | 7  | 12 | 20 | 23 | 24 | 31 |    | H  | 26 | 35 |
