+------+------------+---------+----+----+----+----+----+----+----+----+----+
|  t1  |     d1     |   z1    | s1 | s2 | s3 | s4 | s5 | s6 | "" | z2 | b1 |
| 1077 | 2016/6/6   | 227310  | 1  | 4  | 9  | 23 | 30 | 36 |    | B  | 5  |
| 1282 | 2018/5/31  | 228845  | 1  | 4  | 10 | 11 | 24 | 28 |    | C  | 29 |
| 1141 | 2017/1/19  | 230149  | 1  | 4  | 10 | 14 | 24 | 26 |    | G  | 29 |
| 145  | 2003/7/24  | 232256  | 1  | 4  | 10 | 21 | 23 | 38 |    | I  | 7  |
| 80   | 2002/4/18  | 240236  | 1  | 4  | 12 | 16 | 19 | 34 |    | A  | 18 |
| 215  | 2004/12/2  | 244984  | 1  | 4  | 13 | 18 | 22 | 31 |    | C  | 30 |
| 797  | 2013/9/19  | 245012  | 1  | 4  | 13 | 18 | 23 | 39 |    | D  | 35 |
| 605  | 2011/11/7  | 246680  | 1  | 4  | 13 | 25 | 38 | 43 |    | F  | 11 |
| 1159 | 2017/3/23  | 251308  | 1  | 4  | 15 | 16 | 23 | 30 |    | J  | 17 |
| 1145 | 2017/2/2   | 251968  | 1  | 4  | 15 | 18 | 25 | 28 |    | F  | 36 |
| 1195 | 2017/7/27  | 258602  | 1  | 4  | 17 | 22 | 35 | 42 |    | B  | 7  |
| 466  | 2009/10/8  | 263791  | 1  | 4  | 19 | 28 | 34 | 40 |    | C  | 14 |
| 1017 | 2015/11/5  | 270740  | 1  | 4  | 24 | 30 | 39 | 40 |    | A  | 5  |
| 309  | 2006/9/21  | 272494  | 1  | 4  | 26 | 36 | 41 | 42 |    | A  | 9  |
| 973  | 2015/6/4   | 278096  | 1  | 5  | 6  | 12 | 30 | 31 |    | B  | 24 |
| 1594 | 2021/6/14  | 278578  | 1  | 5  | 6  | 13 | 34 | 36 |    | F  | 18 |
| 1473 | 2020/4/13  | 282071  | 1  | 5  | 6  | 27 | 33 | 38 |    | C  | 11 |
| 1222 | 2017/10/30 | 284766  | 1  | 5  | 7  | 11 | 29 | 39 |    | H  | 40 |
| 333  | 2007/3/8   | 286543  | 1  | 5  | 7  | 15 | 41 | 42 |    | B  | 38 |
| 232  | 2005/3/31  | 289135  | 1  | 5  | 7  | 26 | 39 | 43 |    | E  | 32 |
| 356  | 2007/8/16  | 291532  | 1  | 5  | 8  | 12 | 17 | 29 |    | E  | 28 |
| 1097 | 2016/8/15  | 292414  | 1  | 5  | 8  | 14 | 19 | 21 |    | E  | 4  |
| 993  | 2015/8/13  | 307628  | 1  | 5  | 10 | 32 | 38 | 40 |    | D  | 18 |
| 263  | 2005/11/3  | 319983  | 1  | 5  | 13 | 22 | 39 | 41 |    | C  | 4  |
| 595  | 2011/10/3  | 326912  | 1  | 5  | 15 | 22 | 39 | 40 |    | D  | 27 |
| 3    | 2000/10/19 | 328005  | 1  | 5  | 15 | 31 | 36 | 38 |    | C  | 13 |
| 287  | 2006/4/20  | 335960  | 1  | 5  | 18 | 34 | 35 | 39 |    | A  | 7  |
| 431  | 2009/2/5   | 336299  | 1  | 5  | 19 | 20 | 35 | 41 |    | C  | 33 |
| 672  | 2012/7/2   | 342891  | 1  | 5  | 23 | 24 | 36 | 43 |    | B  | 19 |
| 452  | 2009/7/2   | 345012  | 1  | 5  | 25 | 27 | 29 | 40 |    | E  | 19 |
| 320  | 2006/12/7  | 345094  | 1  | 5  | 25 | 27 | 38 | 41 |    | F  | 9  |
| 1472 | 2020/4/9   | 349689  | 1  | 6  | 7  | 9  | 23 | 40 |    | H  | 43 |
| 1498 | 2020/7/9   | 349810  | 1  | 6  | 7  | 9  | 31 | 37 |    | A  | 43 |
| 1520 | 2020/9/24  | 374663  | 1  | 6  | 11 | 13 | 30 | 33 |    | F  | 4  |
| 513  | 2010/9/9   | 379250  | 1  | 6  | 12 | 14 | 15 | 19 |    | F  | 18 |
| 807  | 2013/10/24 | 381305  | 1  | 6  | 12 | 20 | 22 | 23 |    | E  | 27 |
| 158  | 2003/10/23 | 383230  | 1  | 6  | 12 | 35 | 37 | 38 |    | H  | 30 |
| 73   | 2002/2/28  | 392145  | 1  | 6  | 15 | 19 | 27 | 36 |    | A  | 25 |
| 1663 | 2022/2/14  | 402481  | 1  | 6  | 19 | 21 | 27 | 39 |    | D  | 3  |
| 210  | 2004/10/28 | 406108  | 1  | 6  | 21 | 22 | 37 | 40 |    | G  | 19 |
| 947  | 2015/3/5   | 406193  | 1  | 6  | 21 | 23 | 27 | 40 |    | E  | 9  |
| 1110 | 2016/9/29  | 407347  | 1  | 6  | 21 | 34 | 36 | 39 |    | E  | 29 |
| 1264 | 2018/3/29  | 412803  | 1  | 6  | 27 | 33 | 35 | 43 |    | A  | 15 |
| 168  | 2004/1/8   | 414086  | 1  | 6  | 31 | 32 | 36 | 39 |    | B  | 42 |
| 1324 | 2018/10/25 | 418562  | 1  | 7  | 8  | 17 | 25 | 42 |    | I  | 11 |
| 326  | 2007/1/18  | 423456  | 1  | 7  | 9  | 14 | 23 | 43 |    | C  | 19 |
| 1681 | 2022/4/18  | 433277  | 1  | 7  | 11 | 13 | 15 | 42 |    | F  | 33 |
| 796  | 2013/9/16  | 433843  | 1  | 7  | 11 | 14 | 22 | 34 |    | B  | 2  |
| 307  | 2006/9/7   | 437503  | 1  | 7  | 11 | 32 | 33 | 40 |    | C  | 27 |
| 1377 | 2019/5/6   | 445299  | 1  | 7  | 13 | 24 | 40 | 43 |    | E  | 20 |
| 508  | 2010/8/5   | 446477  | 1  | 7  | 14 | 15 | 24 | 42 |    | E  | 13 |
| 792  | 2013/9/2   | 449094  | 1  | 7  | 14 | 25 | 37 | 43 |    | A  | 4  |
| 1084 | 2016/6/30  | 464325  | 1  | 7  | 20 | 28 | 34 | 38 |    | A  | 16 |
| 1440 | 2019/12/12 | 464599  | 1  | 7  | 20 | 31 | 41 | 42 |    | F  | 28 |
| 1427 | 2019/10/28 | 469924  | 1  | 7  | 25 | 26 | 38 | 41 |    | C  | 31 |
| 236  | 2005/4/28  | 475965  | 1  | 8  | 9  | 14 | 34 | 38 |    | H  | 4  |
| 880  | 2014/7/10  | 486987  | 1  | 8  | 11 | 16 | 25 | 32 |    | C  | 19 |
| 1026 | 2015/12/7  | 487249  | 1  | 8  | 11 | 17 | 22 | 26 |    | I  | 31 |
| 492  | 2010/4/15  | 492604  | 1  | 8  | 12 | 20 | 23 | 37 |    | C  | 10 |
| 1170 | 2017/5/1   | 496402  | 1  | 8  | 13 | 19 | 23 | 28 |    | J  | 39 |
| 1610 | 2021/8/9   | 497299  | 1  | 8  | 13 | 22 | 41 | 42 |    | D  | 40 |
| 1227 | 2017/11/16 | 501827  | 1  | 8  | 14 | 28 | 40 | 43 |    | B  | 6  |
| 521  | 2010/11/4  | 503818  | 1  | 8  | 15 | 21 | 23 | 30 |    | H  | 33 |
| 1503 | 2020/7/27  | 508426  | 1  | 8  | 16 | 35 | 40 | 42 |    | G  | 20 |
| 700  | 2012/10/8  | 510064  | 1  | 8  | 17 | 24 | 33 | 35 |    | C  | 11 |
| 430  | 2009/1/29  | 512669  | 1  | 8  | 18 | 26 | 34 | 42 |    | A  | 21 |
| 768  | 2013/6/10  | 514534  | 1  | 8  | 19 | 25 | 32 | 38 |    | G  | 39 |
| 589  | 2011/9/12  | 531035  | 1  | 9  | 10 | 28 | 41 | 42 |    | H  | 33 |
| 1280 | 2018/5/24  | 534814  | 1  | 9  | 11 | 21 | 29 | 36 |    | J  | 7  |
| 105  | 2002/10/10 | 547169  | 1  | 9  | 14 | 22 | 25 | 34 |    | E  | 18 |
| 1644 | 2021/12/6  | 548148  | 1  | 9  | 14 | 28 | 32 | 40 |    | A  | 15 |
| 1535 | 2020/11/16 | 548342  | 1  | 9  | 14 | 30 | 35 | 38 |    | C  | 3  |
| 353  | 2007/7/26  | 548785  | 1  | 9  | 15 | 16 | 22 | 26 |    | B  | 29 |
| 2    | 2000/10/12 | 552860  | 1  | 9  | 16 | 20 | 21 | 43 |    | G  | 5  |
| 282  | 2006/3/16  | 557241  | 1  | 9  | 17 | 31 | 41 | 43 |    | A  | 23 |
| 785  | 2013/8/8   | 557806  | 1  | 9  | 18 | 20 | 24 | 29 |    | H  | 15 |
| 1534 | 2020/11/12 | 558261  | 1  | 9  | 18 | 22 | 24 | 43 |    | F  | 39 |
| 784  | 2013/8/5   | 567186  | 1  | 9  | 23 | 29 | 37 | 41 |    | D  | 22 |
| 1632 | 2021/10/25 | 568013  | 1  | 9  | 24 | 28 | 31 | 41 |    | D  | 2  |
| 69   | 2002/1/31  | 571856  | 1  | 9  | 31 | 35 | 40 | 41 |    | J  | 14 |
| 71   | 2002/2/14  | 573013  | 1  | 10 | 11 | 13 | 19 | 20 |    | C  | 3  |
| 76   | 2002/3/21  | 578681  | 1  | 10 | 12 | 16 | 20 | 35 |    | F  | 29 |
| 1455 | 2020/2/10  | 580501  | 1  | 10 | 12 | 22 | 34 | 43 |    | D  | 23 |
| 269  | 2005/12/15 | 582400  | 1  | 10 | 13 | 15 | 21 | 23 |    | E  | 36 |
| 1373 | 2019/4/22  | 583372  | 1  | 10 | 13 | 18 | 20 | 41 |    | J  | 11 |
| 242  | 2005/6/9   | 584495  | 1  | 10 | 13 | 22 | 29 | 32 |    | A  | 38 |
| 1378 | 2019/5/9   | 591860  | 1  | 10 | 15 | 24 | 35 | 43 |    | D  | 9  |
| 1339 | 2018/12/17 | 592700  | 1  | 10 | 15 | 33 | 34 | 42 |    | D  | 39 |
| 652  | 2012/4/23  | 593501  | 1  | 10 | 16 | 19 | 20 | 39 |    | A  | 29 |
| 1146 | 2017/2/6   | 601421  | 1  | 10 | 19 | 23 | 26 | 34 |    | J  | 27 |
| 530  | 2011/1/6   | 602368  | 1  | 10 | 19 | 30 | 33 | 36 |    | J  | 35 |
| 791  | 2013/8/29  | 606336  | 1  | 10 | 22 | 24 | 34 | 37 |    | I  | 20 |
| 1071 | 2016/5/16  | 609643  | 1  | 10 | 25 | 27 | 31 | 40 |    | G  | 3  |
| 1512 | 2020/8/27  | 616798  | 1  | 11 | 12 | 24 | 32 | 38 |    | I  | 39 |
| 709  | 2012/11/8  | 621504  | 1  | 11 | 13 | 29 | 37 | 39 |    | B  | 8  |
| 681  | 2012/8/2   | 621584  | 1  | 11 | 13 | 30 | 37 | 41 |    | D  | 27 |
| 870  | 2014/6/5   | 623807  | 1  | 11 | 14 | 21 | 23 | 39 |    | E  | 26 |
| 1271 | 2018/4/23  | 624974  | 1  | 11 | 14 | 27 | 39 | 42 |    | C  | 32 |
| 81   | 2002/4/25  | 627525  | 1  | 11 | 15 | 23 | 26 | 27 |    | J  | 41 |
| 470  | 2009/11/5  | 633192  | 1  | 11 | 17 | 23 | 38 | 43 |    | D  | 18 |
| 104  | 2002/10/3  | 633549  | 1  | 11 | 17 | 26 | 28 | 35 |    | G  | 12 |
| 525  | 2010/12/2  | 633837  | 1  | 11 | 17 | 28 | 33 | 38 |    | F  | 20 |
| 212  | 2004/11/11 | 634145  | 1  | 11 | 17 | 32 | 35 | 39 |    | A  | 20 |
| 1257 | 2018/3/5   | 637465  | 1  | 11 | 19 | 23 | 32 | 37 |    | C  | 14 |
| 820  | 2013/12/9  | 638205  | 1  | 11 | 19 | 28 | 39 | 43 |    | D  | 16 |
| 1118 | 2016/10/27 | 641118  | 1  | 11 | 21 | 25 | 34 | 36 |    | E  | 28 |
| 355  | 2007/8/9   | 644709  | 1  | 11 | 24 | 26 | 36 | 37 |    | A  | 39 |
| 967  | 2015/5/14  | 646568  | 1  | 11 | 26 | 30 | 32 | 40 |    | H  | 8  |
| 1116 | 2016/10/20 | 648965  | 1  | 11 | 33 | 34 | 35 | 38 |    | B  | 29 |
| 1130 | 2016/12/8  | 649260  | 1  | 11 | 37 | 38 | 39 | 42 |    | J  | 26 |
| 1061 | 2016/4/11  | 653814  | 1  | 12 | 14 | 16 | 20 | 29 |    | I  | 4  |
| 1253 | 2018/2/19  | 655986  | 1  | 12 | 14 | 24 | 33 | 37 |    | I  | 15 |
| 1113 | 2016/10/10 | 656288  | 1  | 12 | 14 | 26 | 34 | 41 |    | C  | 6  |
| 859  | 2014/4/28  | 657444  | 1  | 12 | 15 | 17 | 21 | 36 |    | C  | 24 |
| 259  | 2005/10/6  | 659105  | 1  | 12 | 15 | 23 | 34 | 42 |    | D  | 27 |
| 812  | 2013/11/11 | 659563  | 1  | 12 | 15 | 26 | 34 | 40 |    | C  | 22 |
| 1563 | 2021/2/25  | 671188  | 1  | 12 | 20 | 26 | 35 | 37 |    | C  | 2  |
| 1636 | 2021/11/8  | 676116  | 1  | 12 | 24 | 26 | 30 | 36 |    | F  | 29 |
| 1558 | 2021/2/8   | 677130  | 1  | 12 | 25 | 27 | 39 | 42 |    | I  | 16 |
| 96   | 2002/8/8   | 687582  | 1  | 13 | 15 | 34 | 36 | 43 |    | C  | 37 |
| 591  | 2011/9/19  | 689152  | 1  | 13 | 16 | 22 | 27 | 33 |    | C  | 5  |
| 519  | 2010/10/21 | 704650  | 1  | 13 | 25 | 29 | 30 | 33 |    | J  | 35 |
| 1231 | 2017/11/30 | 713332  | 1  | 14 | 16 | 24 | 32 | 36 |    | I  | 2  |
| 399  | 2008/6/19  | 716436  | 1  | 14 | 17 | 28 | 31 | 37 |    | E  | 21 |
| 1528 | 2020/10/22 | 716845  | 1  | 14 | 17 | 34 | 35 | 37 |    | G  | 16 |
| 1198 | 2017/8/7   | 722249  | 1  | 14 | 20 | 26 | 27 | 34 |    | D  | 33 |
| 721  | 2012/12/20 | 725976  | 1  | 14 | 23 | 24 | 27 | 40 |    | B  | 10 |
| 546  | 2011/4/14  | 731111  | 1  | 14 | 30 | 34 | 40 | 43 |    | D  | 27 |
| 1016 | 2015/11/2  | 731246  | 1  | 14 | 31 | 32 | 39 | 42 |    | H  | 34 |
| 1201 | 2017/8/17  | 740281  | 1  | 15 | 19 | 22 | 26 | 28 |    | I  | 33 |
| 1000 | 2015/9/7   | 743593  | 1  | 15 | 21 | 22 | 26 | 29 |    | B  | 37 |
| 1033 | 2016/1/4   | 744087  | 1  | 15 | 21 | 24 | 37 | 41 |    | G  | 7  |
| 1345 | 2019/1/14  | 749347  | 1  | 15 | 26 | 27 | 29 | 33 |    | A  | 18 |
| 103  | 2002/9/26  | 754328  | 1  | 16 | 17 | 27 | 29 | 34 |    | B  | 39 |
| 959  | 2015/4/16  | 756807  | 1  | 16 | 18 | 28 | 36 | 38 |    | A  | 42 |
| 144  | 2003/7/17  | 759180  | 1  | 16 | 19 | 33 | 38 | 41 |    | G  | 43 |
| 36   | 2001/6/7   | 759862  | 1  | 16 | 20 | 23 | 30 | 40 |    | A  | 17 |
| 1670 | 2022/3/10  | 759882  | 1  | 16 | 20 | 23 | 32 | 37 |    | C  | 18 |
| 639  | 2012/3/8   | 760060  | 1  | 16 | 20 | 24 | 33 | 34 |    | J  | 8  |
| 83   | 2002/5/9   | 762134  | 1  | 16 | 21 | 28 | 35 | 37 |    | F  | 30 |
| 311  | 2006/10/5  | 763902  | 1  | 16 | 22 | 36 | 37 | 42 |    | I  | 34 |
| 52   | 2001/9/27  | 765224  | 1  | 16 | 24 | 25 | 36 | 42 |    | I  | 21 |
| 1124 | 2016/11/17 | 765603  | 1  | 16 | 24 | 28 | 40 | 42 |    | C  | 33 |
| 1502 | 2020/7/23  | 781317  | 1  | 17 | 25 | 28 | 32 | 42 |    | D  | 26 |
| 1546 | 2020/12/24 | 785874  | 1  | 18 | 19 | 24 | 31 | 40 |    | C  | 16 |
| 1137 | 2017/1/5   | 789986  | 1  | 18 | 21 | 31 | 37 | 41 |    | F  | 20 |
| 503  | 2010/7/1   | 793799  | 1  | 18 | 25 | 27 | 28 | 29 |    | F  | 11 |
| 458  | 2009/8/13  | 795408  | 1  | 18 | 27 | 30 | 36 | 40 |    | D  | 5  |
| 940  | 2015/2/9   | 795919  | 1  | 18 | 28 | 31 | 35 | 37 |    | G  | 39 |
| 1292 | 2018/7/5   | 796179  | 1  | 18 | 29 | 30 | 31 | 37 |    | J  | 35 |
| 1045 | 2016/2/15  | 800497  | 1  | 19 | 21 | 30 | 31 | 43 |    | G  | 18 |
| 313  | 2006/10/19 | 800571  | 1  | 19 | 21 | 31 | 32 | 40 |    | H  | 33 |
| 1570 | 2021/3/22  | 800966  | 1  | 19 | 22 | 23 | 31 | 36 |    | B  | 24 |
| 1098 | 2016/8/18  | 807521  | 1  | 19 | 31 | 33 | 35 | 43 |    | B  | 29 |
| 702  | 2012/10/15 | 812141  | 1  | 20 | 23 | 37 | 38 | 40 |    | G  | 4  |
| 306  | 2006/8/31  | 813437  | 1  | 20 | 25 | 28 | 31 | 42 |    | A  | 2  |
| 1540 | 2020/12/3  | 813453  | 1  | 20 | 25 | 28 | 33 | 37 |    | H  | 31 |
| 1479 | 2020/5/4   | 816105  | 1  | 20 | 30 | 32 | 35 | 37 |    | H  | 33 |
| 928  | 2014/12/25 | 818733  | 1  | 21 | 23 | 26 | 31 | 33 |    | D  | 14 |
| 361  | 2007/9/20  | 822668  | 1  | 21 | 28 | 30 | 37 | 43 |    | J  | 31 |
| 1425 | 2019/10/21 | 837526  | 1  | 24 | 28 | 33 | 35 | 42 |    | J  | 27 |
| 498  | 2010/5/27  | 842065  | 1  | 25 | 36 | 41 | 42 | 43 |    | H  | 39 |
| 1685 | 2022/5/2   | 842154  | 1  | 26 | 27 | 28 | 33 | 37 |    | A  | 8  |
| 1283 | 2018/6/4   | 842354  | 1  | 26 | 27 | 30 | 37 | 38 |    | J  | 4  |
| 585  | 2011/8/29  | 847249  | 1  | 28 | 32 | 34 | 41 | 42 |    | D  | 22 |
| 971  | 2015/5/28  | 855088  | 2  | 3  | 4  | 12 | 22 | 29 |    | F  | 11 |
| 360  | 2007/9/13  | 872222  | 2  | 3  | 6  | 14 | 26 | 42 |    | B  | 25 |
| 555  | 2011/5/16  | 877147  | 2  | 3  | 7  | 9  | 36 | 42 |    | G  | 5  |
| 1318 | 2018/10/4  | 879221  | 2  | 3  | 7  | 14 | 19 | 41 |    | A  | 34 |
| 607  | 2011/11/14 | 884928  | 2  | 3  | 8  | 12 | 20 | 21 |    | J  | 16 |
| 1357 | 2019/2/25  | 886131  | 2  | 3  | 8  | 15 | 19 | 28 |    | F  | 21 |
| 1597 | 2021/6/24  | 886897  | 2  | 3  | 8  | 17 | 23 | 32 |    | B  | 12 |
| 377  | 2008/1/17  | 887677  | 2  | 3  | 8  | 20 | 21 | 24 |    | B  | 13 |
| 62   | 2001/12/6  | 890796  | 2  | 3  | 9  | 12 | 15 | 30 |    | G  | 42 |
| 1326 | 2018/11/1  | 891107  | 2  | 3  | 9  | 12 | 30 | 41 |    | B  | 21 |
| 1014 | 2015/10/26 | 893654  | 2  | 3  | 9  | 19 | 40 | 42 |    | D  | 6  |
| 1147 | 2017/2/9   | 898061  | 2  | 3  | 10 | 16 | 26 | 27 |    | E  | 23 |
| 175  | 2004/2/26  | 899700  | 2  | 3  | 10 | 22 | 28 | 40 |    | D  | 43 |
| 1637 | 2021/11/11 | 903046  | 2  | 3  | 11 | 16 | 27 | 36 |    | I  | 29 |
| 163  | 2003/11/27 | 903318  | 2  | 3  | 11 | 17 | 24 | 34 |    | E  | 28 |
| 95   | 2002/8/1   | 907148  | 2  | 3  | 12 | 15 | 25 | 27 |    | F  | 33 |
| 425  | 2008/12/18 | 908786  | 2  | 3  | 12 | 20 | 34 | 43 |    | I  | 4  |
| 1327 | 2018/11/5  | 913120  | 2  | 3  | 13 | 22 | 23 | 30 |    | J  | 27 |
| 1322 | 2018/10/18 | 914137  | 2  | 3  | 13 | 28 | 32 | 37 |    | C  | 7  |
| 942  | 2015/2/16  | 917637  | 2  | 3  | 14 | 27 | 28 | 38 |    | F  | 8  |
| 1524 | 2020/10/8  | 920536  | 2  | 3  | 15 | 24 | 30 | 43 |    | E  | 39 |
| 265  | 2005/11/17 | 922973  | 2  | 3  | 16 | 22 | 23 | 28 |    | A  | 40 |
| 1675 | 2022/3/28  | 926434  | 2  | 3  | 17 | 27 | 28 | 34 |    | B  | 6  |
| 1648 | 2021/12/20 | 935364  | 2  | 3  | 22 | 26 | 35 | 42 |    | E  | 38 |
| 515  | 2010/9/23  | 936344  | 2  | 3  | 23 | 25 | 33 | 35 |    | C  | 34 |
| 829  | 2014/1/13  | 937023  | 2  | 3  | 23 | 32 | 36 | 39 |    | J  | 20 |
| 914  | 2014/11/6  | 939534  | 2  | 3  | 26 | 33 | 36 | 40 |    | B  | 19 |
| 974  | 2015/6/8   | 940716  | 2  | 3  | 29 | 30 | 32 | 43 |    | G  | 26 |
| 1480 | 2020/5/7   | 942544  | 2  | 4  | 5  | 6  | 24 | 34 |    | I  | 39 |
| 1180 | 2017/6/5   | 946112  | 2  | 4  | 5  | 13 | 18 | 21 |    | J  | 40 |
