+-----+------------+----+----+----+----+----+----+----+----+----+----+----------+
| t1  |     d1     | s1 | s2 | s3 | s4 | s5 | s6 | s7 | b1 | b2 | Z1 |    Z2    |
| 454 | 2022/01/21 | 1  | 3  | 10 | 15 | 16 | 32 | 37 |    |    |    | 513503   |
| 454 | 2022/01/21 | 1  | 3  | 10 | 15 | 21 | 26 | 35 |    |    |    | 514226   |
| 454 | 2022/01/21 | 1  | 5  | 9  | 15 | 16 | 32 | 37 |    |    |    | 934665   |
| 454 | 2022/01/21 | 1  | 15 | 16 | 21 | 26 | 27 | 37 |    |    | 5  | 1850800  |
| 454 | 2022/01/21 | 2  | 4  | 9  | 20 | 25 | 35 | 36 |    |    |    | 2362502  |
| 454 | 2022/01/21 | 2  | 5  | 8  | 15 | 21 | 27 | 37 |    |    |    | 2538085  |
| 454 | 2022/01/21 | 2  | 8  | 9  | 21 | 25 | 33 | 35 |    |    |    | 2995604  |
| 454 | 2022/01/21 | 5  | 6  | 12 | 18 | 21 | 33 | 34 |    |    |    | 6135760  |
| 454 | 2022/01/21 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 454 | 2022/01/21 | 7  | 14 | 17 | 22 | 23 | 27 | 29 |    |    |    | 8141439  |
| 454 | 2022/01/21 | 8  | 9  | 25 | 26 | 32 | 33 | 35 |    |    |    | 8356812  |
| 454 | 2022/01/21 | 8  | 11 | 13 | 26 | 28 | 30 | 31 |    |    |    | 8461517  |
| 454 | 2022/01/21 | 8  | 17 | 21 | 26 | 27 | 29 | 31 | 1  | 33 | H  | 8691080  |
| 453 | 2022/01/14 | 1  | 4  | 17 | 20 | 22 | 31 | 36 |    |    |    | 821869   |
| 453 | 2022/01/14 | 1  | 6  | 12 | 19 | 21 | 30 | 33 |    |    |    | 1154736  |
| 453 | 2022/01/14 | 1  | 7  | 8  | 11 | 19 | 20 | 35 |    |    |    | 1219358  |
| 453 | 2022/01/14 | 1  | 11 | 12 | 15 | 16 | 32 | 37 |    |    |    | 1655777  |
| 453 | 2022/01/14 | 2  | 8  | 10 | 21 | 24 | 26 | 35 | 9  | 13 | C  | 3013039  |
| 453 | 2022/01/14 | 2  | 12 | 21 | 26 | 32 | 34 | 37 |    |    |    | 3389141  |
| 453 | 2022/01/14 | 2  | 15 | 17 | 20 | 24 | 25 | 36 |    |    |    | 3478102  |
| 453 | 2022/01/14 | 3  | 4  | 6  | 14 | 17 | 23 | 31 |    |    |    | 3628285  |
| 453 | 2022/01/14 | 3  | 5  | 11 | 18 | 27 | 28 | 34 |    |    |    | 3939849  |
| 453 | 2022/01/14 | 4  | 7  | 9  | 23 | 29 | 31 | 32 |    |    |    | 5330292  |
| 453 | 2022/01/14 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 453 | 2022/01/14 | 9  | 15 | 18 | 24 | 27 | 33 | 36 |    |    |    | 9024349  |
| 453 | 2022/01/14 | 10 | 13 | 16 | 22 | 25 | 28 | 29 |    |    |    | 9250868  |
| 453 | 2022/01/14 | 13 | 14 | 16 | 22 | 26 | 35 | 37 |    |    |    | 9826541  |
| 452 | 2022/01/07 | 1  | 4  | 5  | 16 | 17 | 18 | 36 |    |    |    | 631551   |
| 452 | 2022/01/07 | 1  | 7  | 10 | 14 | 18 | 34 | 35 |    |    |    | 1263458  |
| 452 | 2022/01/07 | 2  | 3  | 5  | 8  | 21 | 26 | 28 |    |    |    | 2000297  |
| 452 | 2022/01/07 | 2  | 13 | 20 | 21 | 24 | 34 | 37 |    |    |    | 3428059  |
| 452 | 2022/01/07 | 3  | 15 | 26 | 27 | 28 | 29 | 30 |    |    |    | 4840452  |
| 452 | 2022/01/07 | 4  | 6  | 13 | 16 | 22 | 27 | 36 |    |    |    | 5238153  |
| 452 | 2022/01/07 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    | 6  | 6406952  |
| 452 | 2022/01/07 | 5  | 11 | 12 | 20 | 21 | 24 | 29 |    |    |    | 6643230  |
| 452 | 2022/01/07 | 5  | 17 | 20 | 21 | 31 | 34 | 35 | 8  | 27 | E  | 6882823  |
| 452 | 2022/01/07 | 6  | 8  | 19 | 23 | 32 | 33 | 35 |    |    |    | 7181290  |
| 452 | 2022/01/07 | 9  | 11 | 15 | 17 | 29 | 33 | 37 |    |    |    | 8849961  |
| 452 | 2022/01/07 | 10 | 11 | 12 | 14 | 22 | 25 | 31 |    |    |    | 9114700  |
| 452 | 2022/01/07 | 19 | 23 | 24 | 25 | 30 | 31 | 32 |    |    |    | 10258808 |
| 451 | 2021/12/24 | 1  | 5  | 9  | 13 | 16 | 19 | 30 |    |    |    | 931204   |
| 451 | 2021/12/24 | 2  | 4  | 6  | 12 | 14 | 21 | 36 |    |    |    | 2278931  |
| 451 | 2021/12/24 | 2  | 15 | 22 | 25 | 28 | 33 | 37 | 10 | 17 | I  | 3492751  |
| 451 | 2021/12/24 | 3  | 7  | 8  | 11 | 23 | 27 | 28 |    |    |    | 4187958  |
| 451 | 2021/12/24 | 3  | 8  | 14 | 24 | 29 | 30 | 31 |    |    |    | 4406389  |
| 451 | 2021/12/24 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 451 | 2021/12/24 | 7  | 12 | 15 | 21 | 22 | 26 | 37 |    |    |    | 8053908  |
| 451 | 2021/12/24 | 9  | 15 | 16 | 21 | 27 | 32 | 36 |    |    |    | 9014519  |
| 451 | 2021/12/24 | 10 | 15 | 17 | 22 | 26 | 33 | 34 |    |    | 6  | 9315786  |
| 451 | 2021/12/24 | 11 | 18 | 19 | 21 | 23 | 24 | 29 |    |    |    | 9599702  |
| 451 | 2021/12/24 | 18 | 24 | 25 | 29 | 31 | 32 | 37 |    |    |    | 10242476 |
| 450 | 2021/12/17 | 1  | 3  | 13 | 19 | 30 | 33 | 35 |    |    |    | 557281   |
| 450 | 2021/12/17 | 1  | 9  | 10 | 12 | 15 | 27 | 28 |    |    |    | 1476078  |
| 450 | 2021/12/17 | 2  | 6  | 8  | 10 | 12 | 18 | 29 |    |    |    | 2695887  |
| 450 | 2021/12/17 | 2  | 7  | 12 | 15 | 21 | 23 | 30 | 9  | 31 | A  | 2916074  |
| 450 | 2021/12/17 | 2  | 11 | 16 | 17 | 19 | 26 | 37 |    |    |    | 3314657  |
| 450 | 2021/12/17 | 3  | 8  | 23 | 25 | 29 | 30 | 32 |    |    |    | 4438257  |
| 450 | 2021/12/17 | 4  | 5  | 15 | 17 | 24 | 28 | 34 |    |    |    | 5085728  |
| 450 | 2021/12/17 | 5  | 7  | 13 | 24 | 31 | 32 | 33 |    |    |    | 6292588  |
| 450 | 2021/12/17 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 450 | 2021/12/17 | 6  | 14 | 18 | 21 | 22 | 29 | 36 |    |    |    | 7551018  |
| 450 | 2021/12/17 | 7  | 11 | 22 | 25 | 31 | 32 | 36 |    |    |    | 8025913  |
| 450 | 2021/12/17 | 9  | 16 | 21 | 23 | 26 | 27 | 37 |    |    |    | 9051589  |
| 450 | 2021/12/17 | 12 | 19 | 21 | 25 | 31 | 36 | 37 |    |    |    | 9791325  |
| 450 | 2021/12/17 | 13 | 14 | 17 | 19 | 21 | 35 | 37 |    |    |    | 9829296  |
| 449 | 2021/12/10 | 1  | 2  | 4  | 17 | 24 | 30 | 33 |    |    |    | 82140    |
| 449 | 2021/12/10 | 1  | 4  | 6  | 10 | 13 | 24 | 31 |    |    |    | 650655   |
| 449 | 2021/12/10 | 2  | 5  | 15 | 16 | 21 | 28 | 29 |    |    |    | 2631837  |
| 449 | 2021/12/10 | 2  | 21 | 26 | 27 | 32 | 33 | 34 | 8  | 9  | D  | 3562253  |
| 449 | 2021/12/10 | 3  | 8  | 9  | 12 | 19 | 23 | 25 |    |    |    | 4328987  |
| 449 | 2021/12/10 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 449 | 2021/12/10 | 5  | 11 | 13 | 15 | 27 | 28 | 29 |    |    |    | 6649403  |
| 449 | 2021/12/10 | 5  | 11 | 25 | 26 | 28 | 29 | 30 |    |    |    | 6698145  |
| 449 | 2021/12/10 | 5  | 15 | 18 | 25 | 27 | 32 | 33 |    |    |    | 6842746  |
| 449 | 2021/12/10 | 5  | 18 | 26 | 28 | 30 | 32 | 33 |    |    |    | 6901847  |
| 449 | 2021/12/10 | 7  | 11 | 14 | 22 | 26 | 33 | 37 |    |    |    | 7994257  |
| 449 | 2021/12/10 | 11 | 15 | 19 | 25 | 29 | 33 | 36 |    |    |    | 9553933  |
| 449 | 2021/12/10 | 13 | 18 | 19 | 26 | 29 | 30 | 36 |    |    |    | 9913260  |
| 449 | 2021/12/10 | 17 | 18 | 27 | 30 | 32 | 35 | 36 |    |    |    | 10190521 |
| 449 | 2021/12/10 | 19 | 26 | 27 | 28 | 30 | 33 | 36 |    |    |    | 10262766 |
| 448 | 2021/12/03 | 1  | 5  | 6  | 11 | 23 | 30 | 31 |    |    |    | 856348   |
| 448 | 2021/12/03 | 1  | 5  | 13 | 14 | 17 | 19 | 24 |    |    |    | 988935   |
| 448 | 2021/12/03 | 1  | 5  | 19 | 22 | 24 | 28 | 33 |    |    |    | 1031341  |
| 448 | 2021/12/03 | 1  | 15 | 16 | 17 | 22 | 27 | 30 |    |    |    | 1847478  |
| 448 | 2021/12/03 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 448 | 2021/12/03 | 5  | 13 | 14 | 22 | 25 | 28 | 29 |    |    |    | 6759742  |
| 448 | 2021/12/03 | 5  | 13 | 17 | 24 | 27 | 33 | 36 |    |    |    | 6778674  |
| 448 | 2021/12/03 | 5  | 15 | 16 | 26 | 27 | 33 | 37 |    |    |    | 6834198  |
| 448 | 2021/12/03 | 7  | 21 | 24 | 29 | 32 | 36 | 37 | 22 | 27 | B  | 8250297  |
| 448 | 2021/12/03 | 13 | 15 | 19 | 25 | 27 | 28 | 29 |    |    |    | 9865528  |
| 448 | 2021/12/03 | 14 | 15 | 16 | 18 | 22 | 24 | 36 |    |    |    | 9950943  |
| 448 | 2021/12/03 | 15 | 17 | 19 | 24 | 27 | 28 | 31 |    |    |    | 10076723 |
| 448 | 2021/12/03 | 18 | 19 | 26 | 27 | 28 | 33 | 37 |    |    |    | 10225758 |
| 447 | 2021/11/26 | 1  | 3  | 15 | 16 | 17 | 27 | 33 |    |    |    | 569380   |
| 447 | 2021/11/26 | 1  | 3  | 15 | 17 | 25 | 33 | 37 |    |    |    | 571483   |
| 447 | 2021/11/26 | 1  | 4  | 12 | 23 | 24 | 27 | 34 |    |    |    | 785759   |
| 447 | 2021/11/26 | 2  | 6  | 7  | 8  | 20 | 23 | 24 |    |    |    | 2667630  |
| 447 | 2021/11/26 | 3  | 5  | 8  | 13 | 26 | 30 | 37 | 25 | 28 | F  | 3880097  |
| 447 | 2021/11/26 | 3  | 15 | 16 | 26 | 35 | 36 | 37 |    |    |    | 4820564  |
| 447 | 2021/11/26 | 4  | 11 | 14 | 28 | 30 | 31 | 33 |    |    |    | 5759365  |
| 447 | 2021/11/26 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 447 | 2021/11/26 | 5  | 10 | 13 | 19 | 21 | 25 | 29 |    |    |    | 6587408  |
| 447 | 2021/11/26 | 5  | 11 | 13 | 14 | 19 | 34 | 35 |    |    |    | 6647206  |
| 447 | 2021/11/26 | 6  | 10 | 12 | 25 | 26 | 30 | 32 |    |    |    | 7316071  |
| 447 | 2021/11/26 | 7  | 8  | 18 | 22 | 31 | 36 | 37 |    |    |    | 7771639  |
| 447 | 2021/11/26 | 9  | 13 | 14 | 19 | 28 | 29 | 35 |    |    |    | 8940013  |
| 447 | 2021/11/26 | 9  | 15 | 16 | 20 | 21 | 24 | 25 |    |    |    | 9013440  |
| 447 | 2021/11/26 | 12 | 17 | 18 | 22 | 27 | 32 | 34 |    |    |    | 9762886  |
| 446 | 2021/11/19 | 1  | 4  | 15 | 17 | 19 | 23 | 33 |    |    |    | 808134   |
| 446 | 2021/11/19 | 1  | 7  | 9  | 12 | 15 | 29 | 32 | 11 | 28 | B  | 1241514  |
| 446 | 2021/11/19 | 1  | 8  | 12 | 15 | 19 | 25 | 37 |    |    |    | 1411445  |
| 446 | 2021/11/19 | 2  | 4  | 7  | 11 | 17 | 30 | 35 |    |    |    | 2304765  |
| 446 | 2021/11/19 | 2  | 4  | 16 | 19 | 21 | 35 | 37 |    |    |    | 2439414  |
| 446 | 2021/11/19 | 2  | 9  | 18 | 20 | 29 | 35 | 36 |    |    |    | 3180146  |
| 446 | 2021/11/19 | 3  | 13 | 16 | 23 | 27 | 32 | 33 |    |    |    | 4759776  |
| 446 | 2021/11/19 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 446 | 2021/11/19 | 5  | 10 | 11 | 14 | 24 | 30 | 34 |    |    |    | 6558661  |
| 446 | 2021/11/19 | 5  | 14 | 18 | 21 | 24 | 26 | 28 |    |    |    | 6814871  |
| 446 | 2021/11/19 | 6  | 8  | 12 | 22 | 26 | 27 | 32 |    |    |    | 7136167  |
| 446 | 2021/11/19 | 6  | 9  | 10 | 22 | 31 | 34 | 36 |    |    |    | 7207038  |
| 446 | 2021/11/19 | 7  | 16 | 21 | 25 | 28 | 31 | 37 |    |    |    | 8200446  |
| 445 | 2021/11/12 | 1  | 2  | 8  | 15 | 18 | 19 | 33 |    |    |    | 197436   |
| 445 | 2021/11/12 | 1  | 6  | 10 | 22 | 26 | 29 | 30 |    |    |    | 1129216  |
| 445 | 2021/11/12 | 2  | 5  | 18 | 24 | 25 | 28 | 32 |    |    |    | 2652156  |
| 445 | 2021/11/12 | 3  | 6  | 9  | 14 | 22 | 23 | 35 |    |    |    | 4071892  |
| 445 | 2021/11/12 | 3  | 7  | 11 | 15 | 17 | 19 | 27 |    |    |    | 4247683  |
| 445 | 2021/11/12 | 4  | 5  | 7  | 27 | 29 | 34 | 37 |    |    |    | 4974457  |
| 445 | 2021/11/12 | 4  | 8  | 21 | 23 | 33 | 36 | 37 |    |    |    | 5543031  |
| 445 | 2021/11/12 | 4  | 22 | 25 | 27 | 28 | 30 | 33 | 2  | 3  | D  | 6017308  |
| 445 | 2021/11/12 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 445 | 2021/11/12 | 9  | 11 | 19 | 24 | 30 | 33 | 34 |    |    |    | 8871875  |
| 445 | 2021/11/12 | 9  | 13 | 14 | 16 | 31 | 34 | 35 |    |    |    | 8937177  |
| 445 | 2021/11/12 | 10 | 13 | 16 | 24 | 25 | 31 | 32 |    |    |    | 9251542  |
| 445 | 2021/11/12 | 12 | 17 | 21 | 26 | 28 | 30 | 36 |    |    |    | 9771208  |
| 444 | 2021/11/05 | 1  | 7  | 12 | 13 | 14 | 17 | 37 |    |    |    | 1288300  |
| 444 | 2021/11/05 | 1  | 8  | 12 | 13 | 17 | 26 | 33 |    |    |    | 1407817  |
| 444 | 2021/11/05 | 1  | 10 | 11 | 17 | 23 | 29 | 35 |    |    |    | 1580763  |
| 444 | 2021/11/05 | 2  | 4  | 5  | 21 | 24 | 28 | 37 |    |    |    | 2259866  |
| 444 | 2021/11/05 | 3  | 5  | 15 | 16 | 22 | 31 | 36 |    |    |    | 3976874  |
| 444 | 2021/11/05 | 3  | 6  | 9  | 18 | 22 | 27 | 30 |    |    |    | 4076912  |
| 444 | 2021/11/05 | 4  | 7  | 13 | 24 | 27 | 28 | 34 |    |    |    | 5386271  |
| 444 | 2021/11/05 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 444 | 2021/11/05 | 6  | 9  | 10 | 19 | 20 | 25 | 32 |    |    |    | 7204616  |
| 444 | 2021/11/05 | 7  | 14 | 15 | 19 | 23 | 31 | 34 |    |    |    | 8128949  |
| 444 | 2021/11/05 | 7  | 14 | 18 | 26 | 30 | 33 | 37 |    |    |    | 8146726  |
| 444 | 2021/11/05 | 11 | 14 | 25 | 29 | 32 | 35 | 36 |    |    |    | 9535851  |
| 444 | 2021/11/05 | 11 | 15 | 16 | 17 | 18 | 27 | 29 | 25 | 33 | I  | 9536843  |
| 443 | 2021/10/29 | 1  | 4  | 6  | 12 | 18 | 26 | 36 |    |    |    | 656638   |
| 443 | 2021/10/29 | 1  | 5  | 8  | 26 | 28 | 32 | 36 | 23 | 24 | G  | 922420   |
| 443 | 2021/10/29 | 2  | 13 | 15 | 21 | 30 | 35 | 37 |    |    |    | 3408166  |
| 443 | 2021/10/29 | 3  | 6  | 8  | 14 | 26 | 27 | 33 |    |    |    | 4051751  |
| 443 | 2021/10/29 | 3  | 6  | 15 | 22 | 26 | 31 | 37 |    |    |    | 4151696  |
| 443 | 2021/10/29 | 3  | 8  | 16 | 20 | 23 | 29 | 33 |    |    |    | 4417711  |
| 443 | 2021/10/29 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 443 | 2021/10/29 | 7  | 10 | 11 | 14 | 17 | 22 | 32 |    |    |    | 7887777  |
| 443 | 2021/10/29 | 8  | 9  | 11 | 15 | 21 | 28 | 33 |    |    |    | 8284257  |
| 443 | 2021/10/29 | 10 | 16 | 23 | 29 | 32 | 36 | 37 |    |    |    | 9351096  |
| 443 | 2021/10/29 | 12 | 14 | 17 | 19 | 22 | 25 | 34 |    |    |    | 9694737  |
| 443 | 2021/10/29 | 13 | 18 | 26 | 27 | 30 | 31 | 35 |    |    |    | 9921512  |
| 443 | 2021/10/29 | 19 | 24 | 25 | 27 | 28 | 31 | 34 |    |    |    | 10260828 |
| 442 | 2021/10/22 | 1  | 7  | 12 | 13 | 17 | 28 | 35 |    |    |    | 1289083  |
| 442 | 2021/10/22 | 1  | 11 | 20 | 21 | 27 | 28 | 33 |    |    |    | 1709394  |
| 442 | 2021/10/22 | 2  | 7  | 13 | 24 | 31 | 32 | 35 |    |    |    | 2933926  |
| 442 | 2021/10/22 | 3  | 5  | 8  | 23 | 26 | 29 | 36 |    |    |    | 3889714  |
| 442 | 2021/10/22 | 3  | 10 | 13 | 22 | 25 | 26 | 29 |    |    |    | 4575694  |
| 442 | 2021/10/22 | 4  | 5  | 10 | 15 | 21 | 22 | 31 |    |    |    | 5028516  |
| 442 | 2021/10/22 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 442 | 2021/10/22 | 6  | 8  | 27 | 29 | 32 | 36 | 37 |    |    |    | 7190545  |
| 442 | 2021/10/22 | 6  | 12 | 14 | 17 | 18 | 25 | 30 |    |    | 5  | 7449261  |
| 442 | 2021/10/22 | 6  | 13 | 14 | 16 | 19 | 30 | 32 | 25 | 36 | E  | 7490825  |
| 442 | 2021/10/22 | 9  | 19 | 20 | 23 | 24 | 25 | 33 |    |    |    | 9085323  |
| 442 | 2021/10/22 | 10 | 15 | 16 | 19 | 22 | 34 | 37 |    |    |    | 9308962  |
| 442 | 2021/10/22 | 11 | 14 | 16 | 18 | 26 | 30 | 34 |    |    |    | 9512311  |
| 440 | 2021/10/08 | 1  | 3  | 4  | 21 | 23 | 31 | 34 |    |    |    | 363350   |
| 440 | 2021/10/08 | 1  | 9  | 19 | 20 | 25 | 26 | 35 |    |    |    | 1559827  |
| 440 | 2021/10/08 | 1  | 11 | 27 | 28 | 32 | 35 | 36 |    |    |    | 1717172  |
| 440 | 2021/10/08 | 2  | 4  | 5  | 19 | 22 | 29 | 37 |    |    |    | 2258465  |
| 440 | 2021/10/08 | 2  | 6  | 12 | 13 | 15 | 21 | 34 |    |    |    | 2769252  |
| 440 | 2021/10/08 | 3  | 8  | 18 | 23 | 31 | 32 | 36 |    |    |    | 4428176  |
| 440 | 2021/10/08 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 440 | 2021/10/08 | 5  | 10 | 17 | 18 | 19 | 22 | 32 | 14 | 35 | H  | 6613300  |
| 440 | 2021/10/08 | 5  | 14 | 24 | 27 | 30 | 33 | 37 |    |    |    | 6827131  |
| 440 | 2021/10/08 | 7  | 8  | 10 | 12 | 13 | 16 | 18 |    |    |    | 7689019  |
| 440 | 2021/10/08 | 7  | 10 | 11 | 16 | 17 | 22 | 28 |    |    |    | 7890643  |
| 440 | 2021/10/08 | 9  | 14 | 20 | 24 | 26 | 31 | 33 |    |    |    | 9003398  |
| 440 | 2021/10/08 | 15 | 17 | 21 | 23 | 25 | 30 | 34 |    |    |    | 10080555 |
| 439 | 2021/10/01 | 1  | 2  | 16 | 17 | 21 | 24 | 32 |    |    |    | 298795   |
| 439 | 2021/10/01 | 1  | 3  | 6  | 9  | 26 | 29 | 31 | 14 | 18 | C  | 412303   |
| 439 | 2021/10/01 | 1  | 3  | 10 | 19 | 26 | 27 | 28 |    |    |    | 518879   |
| 439 | 2021/10/01 | 2  | 9  | 13 | 14 | 24 | 32 | 36 |    |    |    | 3142556  |
| 439 | 2021/10/01 | 3  | 7  | 8  | 22 | 23 | 28 | 34 |    |    |    | 4201558  |
| 439 | 2021/10/01 | 3  | 9  | 12 | 24 | 26 | 34 | 37 |    |    |    | 4485103  |
| 439 | 2021/10/01 | 4  | 5  | 15 | 20 | 21 | 22 | 25 |    |    |    | 5087841  |
| 439 | 2021/10/01 | 4  | 10 | 12 | 14 | 25 | 26 | 33 |    |    |    | 5665150  |
| 439 | 2021/10/01 | 5  | 6  | 13 | 19 | 20 | 27 | 31 |    |    |    | 6147040  |
| 439 | 2021/10/01 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 439 | 2021/10/01 | 6  | 7  | 8  | 18 | 30 | 33 | 35 |    |    |    | 6949448  |
| 439 | 2021/10/01 | 9  | 15 | 18 | 29 | 30 | 35 | 37 |    |    |    | 9025085  |
